Time	stationReference	region	ngr	stationName	parameter	qualifier	units	value	
2014-01-23T00:00:00Z	2642	Midland	SO8401456544	Worcester LVL	Water Level	Stage	mASD	2.488	
2014-01-23T00:15:00Z	2642	Midland	SO8401456544	Worcester LVL	Water Level	Stage	mASD	2.479	
2014-01-23T00:30:00Z	2642	Midland	SO8401456544	Worcester LVL	Water Level	Stage	mASD	2.474	
2014-01-23T00:45:00Z	2642	Midland	SO8401456544	Worcester LVL	Water Level	Stage	mASD	2.463	
2014-01-23T01:00:00Z	2642	Midland	SO8401456544	Worcester LVL	Water Level	Stage	mASD	2.456	
2014-01-23T01:15:00Z	2642	Midland	SO8401456544	Worcester LVL	Water Level	Stage	mASD	2.451	
2014-01-23T01:30:00Z	2642	Midland	SO8401456544	Worcester LVL	Water Level	Stage	mASD	2.444	
2014-01-23T01:45:00Z	2642	Midland	SO8401456544	Worcester LVL	Water Level	Stage	mASD	2.437	
2014-01-23T02:00:00Z	2642	Midland	SO8401456544	Worcester LVL	Water Level	Stage	mASD	2.432	
2014-01-23T02:15:00Z	2642	Midland	SO8401456544	Worcester LVL	Water Level	Stage	mASD	2.428	
2014-01-23T02:30:00Z	2642	Midland	SO8401456544	Worcester LVL	Water Level	Stage	mASD	2.420	
2014-01-23T02:45:00Z	2642	Midland	SO8401456544	Worcester LVL	Water Level	Stage	mASD	2.416	
2014-01-23T03:00:00Z	2642	Midland	SO8401456544	Worcester LVL	Water Level	Stage	mASD	2.412	
2014-01-23T03:15:00Z	2642	Midland	SO8401456544	Worcester LVL	Water Level	Stage	mASD	2.402	
2014-01-23T03:30:00Z	2642	Midland	SO8401456544	Worcester LVL	Water Level	Stage	mASD	2.402	
2014-01-23T03:45:00Z	2642	Midland	SO8401456544	Worcester LVL	Water Level	Stage	mASD	2.391	
2014-01-23T04:00:00Z	2642	Midland	SO8401456544	Worcester LVL	Water Level	Stage	mASD	2.382	
2014-01-23T04:15:00Z	2642	Midland	SO8401456544	Worcester LVL	Water Level	Stage	mASD	2.379	
2014-01-23T04:30:00Z	2642	Midland	SO8401456544	Worcester LVL	Water Level	Stage	mASD	2.376	
2014-01-23T04:45:00Z	2642	Midland	SO8401456544	Worcester LVL	Water Level	Stage	mASD	2.369	
2014-01-23T05:00:00Z	2642	Midland	SO8401456544	Worcester LVL	Water Level	Stage	mASD	2.362	
2014-01-23T05:15:00Z	2642	Midland	SO8401456544	Worcester LVL	Water Level	Stage	mASD	2.357	
2014-01-23T05:30:00Z	2642	Midland	SO8401456544	Worcester LVL	Water Level	Stage	mASD	2.352	
2014-01-23T05:45:00Z	2642	Midland	SO8401456544	Worcester LVL	Water Level	Stage	mASD	2.347	
2014-01-23T06:00:00Z	2642	Midland	SO8401456544	Worcester LVL	Water Level	Stage	mASD	2.337	
2014-01-23T06:15:00Z	2642	Midland	SO8401456544	Worcester LVL	Water Level	Stage	mASD	2.330	
2014-01-23T06:30:00Z	2642	Midland	SO8401456544	Worcester LVL	Water Level	Stage	mASD	2.323	
2014-01-23T06:45:00Z	2642	Midland	SO8401456544	Worcester LVL	Water Level	Stage	mASD	2.323	
2014-01-23T07:00:00Z	2642	Midland	SO8401456544	Worcester LVL	Water Level	Stage	mASD	2.316	
2014-01-23T07:15:00Z	2642	Midland	SO8401456544	Worcester LVL	Water Level	Stage	mASD	2.308	
2014-01-23T07:30:00Z	2642	Midland	SO8401456544	Worcester LVL	Water Level	Stage	mASD	2.302	
2014-01-23T07:45:00Z	2642	Midland	SO8401456544	Worcester LVL	Water Level	Stage	mASD	2.294	
2014-01-23T08:00:00Z	2642	Midland	SO8401456544	Worcester LVL	Water Level	Stage	mASD	2.292	
2014-01-23T08:15:00Z	2642	Midland	SO8401456544	Worcester LVL	Water Level	Stage	mASD	2.286	
2014-01-23T08:30:00Z	2642	Midland	SO8401456544	Worcester LVL	Water Level	Stage	mASD	2.282	
2014-01-23T08:45:00Z	2642	Midland	SO8401456544	Worcester LVL	Water Level	Stage	mASD	2.278	
2014-01-23T09:00:00Z	2642	Midland	SO8401456544	Worcester LVL	Water Level	Stage	mASD	2.272	
2014-01-23T09:15:00Z	2642	Midland	SO8401456544	Worcester LVL	Water Level	Stage	mASD	2.267	
2014-01-23T09:30:00Z	2642	Midland	SO8401456544	Worcester LVL	Water Level	Stage	mASD	2.262	
2014-01-23T09:45:00Z	2642	Midland	SO8401456544	Worcester LVL	Water Level	Stage	mASD	2.255	
2014-01-23T10:00:00Z	2642	Midland	SO8401456544	Worcester LVL	Water Level	Stage	mASD	2.255	
2014-01-23T10:15:00Z	2642	Midland	SO8401456544	Worcester LVL	Water Level	Stage	mASD	2.250	
2014-01-23T10:30:00Z	2642	Midland	SO8401456544	Worcester LVL	Water Level	Stage	mASD	2.246	
2014-01-23T10:45:00Z	2642	Midland	SO8401456544	Worcester LVL	Water Level	Stage	mASD	2.241	
2014-01-23T11:00:00Z	2642	Midland	SO8401456544	Worcester LVL	Water Level	Stage	mASD	2.238	
2014-01-23T11:15:00Z	2642	Midland	SO8401456544	Worcester LVL	Water Level	Stage	mASD	2.235	
2014-01-23T11:30:00Z	2642	Midland	SO8401456544	Worcester LVL	Water Level	Stage	mASD	2.232	
2014-01-23T11:45:00Z	2642	Midland	SO8401456544	Worcester LVL	Water Level	Stage	mASD	2.228	
