Time	stationReference	region	ngr	stationName	parameter	qualifier	units	value	
2014-01-27T00:00:00Z	2642	Midland	SO8401456544	Worcester LVL	Water Level	Stage	mASD	3.278	
2014-01-27T00:15:00Z	2642	Midland	SO8401456544	Worcester LVL	Water Level	Stage	mASD	3.281	
2014-01-27T00:30:00Z	2642	Midland	SO8401456544	Worcester LVL	Water Level	Stage	mASD	3.286	
2014-01-27T00:45:00Z	2642	Midland	SO8401456544	Worcester LVL	Water Level	Stage	mASD	3.292	
2014-01-27T01:00:00Z	2642	Midland	SO8401456544	Worcester LVL	Water Level	Stage	mASD	3.300	
2014-01-27T01:15:00Z	2642	Midland	SO8401456544	Worcester LVL	Water Level	Stage	mASD	3.304	
2014-01-27T01:30:00Z	2642	Midland	SO8401456544	Worcester LVL	Water Level	Stage	mASD	3.313	
2014-01-27T01:45:00Z	2642	Midland	SO8401456544	Worcester LVL	Water Level	Stage	mASD	3.314	
2014-01-27T02:00:00Z	2642	Midland	SO8401456544	Worcester LVL	Water Level	Stage	mASD	3.318	
2014-01-27T02:15:00Z	2642	Midland	SO8401456544	Worcester LVL	Water Level	Stage	mASD	3.325	
2014-01-27T02:30:00Z	2642	Midland	SO8401456544	Worcester LVL	Water Level	Stage	mASD	3.327	
2014-01-27T02:45:00Z	2642	Midland	SO8401456544	Worcester LVL	Water Level	Stage	mASD	3.336	
2014-01-27T03:00:00Z	2642	Midland	SO8401456544	Worcester LVL	Water Level	Stage	mASD	3.337	
2014-01-27T03:15:00Z	2642	Midland	SO8401456544	Worcester LVL	Water Level	Stage	mASD	3.346	
2014-01-27T03:30:00Z	2642	Midland	SO8401456544	Worcester LVL	Water Level	Stage	mASD	3.350	
2014-01-27T03:45:00Z	2642	Midland	SO8401456544	Worcester LVL	Water Level	Stage	mASD	3.354	
2014-01-27T04:00:00Z	2642	Midland	SO8401456544	Worcester LVL	Water Level	Stage	mASD	3.359	
2014-01-27T04:15:00Z	2642	Midland	SO8401456544	Worcester LVL	Water Level	Stage	mASD	3.362	
