Time	stationReference	region	ngr	stationName	parameter	qualifier	units	value	
2014-01-20T00:00:00Z	2642	Midland	SO8401456544	Worcester LVL	Water Level	Stage	mASD	3.626	
2014-01-20T00:15:00Z	2642	Midland	SO8401456544	Worcester LVL	Water Level	Stage	mASD	3.631	
2014-01-20T00:30:00Z	2642	Midland	SO8401456544	Worcester LVL	Water Level	Stage	mASD	3.634	
2014-01-20T00:45:00Z	2642	Midland	SO8401456544	Worcester LVL	Water Level	Stage	mASD	3.635	
2014-01-20T01:00:00Z	2642	Midland	SO8401456544	Worcester LVL	Water Level	Stage	mASD	3.636	
2014-01-20T01:15:00Z	2642	Midland	SO8401456544	Worcester LVL	Water Level	Stage	mASD	3.641	
2014-01-20T01:30:00Z	2642	Midland	SO8401456544	Worcester LVL	Water Level	Stage	mASD	3.641	
2014-01-20T01:45:00Z	2642	Midland	SO8401456544	Worcester LVL	Water Level	Stage	mASD	3.642	
2014-01-20T02:00:00Z	2642	Midland	SO8401456544	Worcester LVL	Water Level	Stage	mASD	3.647	
2014-01-20T02:15:00Z	2642	Midland	SO8401456544	Worcester LVL	Water Level	Stage	mASD	3.646	
2014-01-20T02:30:00Z	2642	Midland	SO8401456544	Worcester LVL	Water Level	Stage	mASD	3.645	
2014-01-20T02:45:00Z	2642	Midland	SO8401456544	Worcester LVL	Water Level	Stage	mASD	3.648	
2014-01-20T03:00:00Z	2642	Midland	SO8401456544	Worcester LVL	Water Level	Stage	mASD	3.650	
2014-01-20T03:15:00Z	2642	Midland	SO8401456544	Worcester LVL	Water Level	Stage	mASD	3.652	
2014-01-20T03:30:00Z	2642	Midland	SO8401456544	Worcester LVL	Water Level	Stage	mASD	3.651	
2014-01-20T03:45:00Z	2642	Midland	SO8401456544	Worcester LVL	Water Level	Stage	mASD	3.652	
2014-01-20T04:00:00Z	2642	Midland	SO8401456544	Worcester LVL	Water Level	Stage	mASD	3.655	
2014-01-20T04:15:00Z	2642	Midland	SO8401456544	Worcester LVL	Water Level	Stage	mASD	3.656	
2014-01-20T04:30:00Z	2642	Midland	SO8401456544	Worcester LVL	Water Level	Stage	mASD	3.658	
2014-01-20T04:45:00Z	2642	Midland	SO8401456544	Worcester LVL	Water Level	Stage	mASD	3.660	
2014-01-20T05:00:00Z	2642	Midland	SO8401456544	Worcester LVL	Water Level	Stage	mASD	3.660	
2014-01-20T05:15:00Z	2642	Midland	SO8401456544	Worcester LVL	Water Level	Stage	mASD	3.662	
2014-01-20T05:30:00Z	2642	Midland	SO8401456544	Worcester LVL	Water Level	Stage	mASD	3.659	
2014-01-20T05:45:00Z	2642	Midland	SO8401456544	Worcester LVL	Water Level	Stage	mASD	3.659	
2014-01-20T06:00:00Z	2642	Midland	SO8401456544	Worcester LVL	Water Level	Stage	mASD	3.663	
2014-01-20T06:15:00Z	2642	Midland	SO8401456544	Worcester LVL	Water Level	Stage	mASD	3.665	
2014-01-20T06:30:00Z	2642	Midland	SO8401456544	Worcester LVL	Water Level	Stage	mASD	3.661	
2014-01-20T06:45:00Z	2642	Midland	SO8401456544	Worcester LVL	Water Level	Stage	mASD	3.661	
2014-01-20T07:00:00Z	2642	Midland	SO8401456544	Worcester LVL	Water Level	Stage	mASD	3.661	
2014-01-20T07:15:00Z	2642	Midland	SO8401456544	Worcester LVL	Water Level	Stage	mASD	3.662	
