Time	stationReference	region	ngr	stationName	parameter	qualifier	units	value	
2014-02-07T00:00:00Z	2421TH	Thames	SU72016526	RIVER LODDON AT SHEEPBRIDGE FLUME	Water Level	Height	mASD	0.821	
2014-02-07T00:00:00Z	2421TH	Thames	SU72016526	RIVER LODDON AT SHEEPBRIDGE FLUME	Water Level	Stage	mASD	1.397	
2014-02-07T00:00:00Z	2642	Midland	SO8401456544	Worcester LVL	Water Level	Stage	mASD	4.765	
2014-02-07T00:15:00Z	2421TH	Thames	SU72016526	RIVER LODDON AT SHEEPBRIDGE FLUME	Water Level	Height	mASD	0.821	
2014-02-07T00:15:00Z	2421TH	Thames	SU72016526	RIVER LODDON AT SHEEPBRIDGE FLUME	Water Level	Stage	mASD	1.399	
2014-02-07T00:15:00Z	2642	Midland	SO8401456544	Worcester LVL	Water Level	Stage	mASD	4.769	
2014-02-07T00:30:00Z	2421TH	Thames	SU72016526	RIVER LODDON AT SHEEPBRIDGE FLUME	Water Level	Height	mASD	0.820	
2014-02-07T00:30:00Z	2421TH	Thames	SU72016526	RIVER LODDON AT SHEEPBRIDGE FLUME	Water Level	Stage	mASD	1.401	
2014-02-07T00:30:00Z	2642	Midland	SO8401456544	Worcester LVL	Water Level	Stage	mASD	4.774	
2014-02-07T00:45:00Z	2421TH	Thames	SU72016526	RIVER LODDON AT SHEEPBRIDGE FLUME	Water Level	Height	mASD	0.821	
2014-02-07T00:45:00Z	2421TH	Thames	SU72016526	RIVER LODDON AT SHEEPBRIDGE FLUME	Water Level	Stage	mASD	1.403	
2014-02-07T00:45:00Z	2642	Midland	SO8401456544	Worcester LVL	Water Level	Stage	mASD	4.779	
2014-02-07T01:00:00Z	2421TH	Thames	SU72016526	RIVER LODDON AT SHEEPBRIDGE FLUME	Water Level	Height	mASD	0.821	
2014-02-07T01:00:00Z	2421TH	Thames	SU72016526	RIVER LODDON AT SHEEPBRIDGE FLUME	Water Level	Stage	mASD	1.406	
2014-02-07T01:00:00Z	2642	Midland	SO8401456544	Worcester LVL	Water Level	Stage	mASD	4.786	
2014-02-07T01:15:00Z	2421TH	Thames	SU72016526	RIVER LODDON AT SHEEPBRIDGE FLUME	Water Level	Height	mASD	0.821	
2014-02-07T01:15:00Z	2421TH	Thames	SU72016526	RIVER LODDON AT SHEEPBRIDGE FLUME	Water Level	Stage	mASD	1.409	
2014-02-07T01:15:00Z	2642	Midland	SO8401456544	Worcester LVL	Water Level	Stage	mASD	4.791	
2014-02-07T01:30:00Z	2421TH	Thames	SU72016526	RIVER LODDON AT SHEEPBRIDGE FLUME	Water Level	Height	mASD	0.821	
2014-02-07T01:30:00Z	2421TH	Thames	SU72016526	RIVER LODDON AT SHEEPBRIDGE FLUME	Water Level	Stage	mASD	1.412	
2014-02-07T01:30:00Z	2642	Midland	SO8401456544	Worcester LVL	Water Level	Stage	mASD	4.791	
2014-02-07T01:45:00Z	2421TH	Thames	SU72016526	RIVER LODDON AT SHEEPBRIDGE FLUME	Water Level	Height	mASD	0.821	
2014-02-07T01:45:00Z	2421TH	Thames	SU72016526	RIVER LODDON AT SHEEPBRIDGE FLUME	Water Level	Stage	mASD	1.415	
2014-02-07T01:45:00Z	2642	Midland	SO8401456544	Worcester LVL	Water Level	Stage	mASD	4.798	
2014-02-07T02:00:00Z	2421TH	Thames	SU72016526	RIVER LODDON AT SHEEPBRIDGE FLUME	Water Level	Height	mASD	0.821	
2014-02-07T02:00:00Z	2421TH	Thames	SU72016526	RIVER LODDON AT SHEEPBRIDGE FLUME	Water Level	Stage	mASD	1.420	
2014-02-07T02:00:00Z	2642	Midland	SO8401456544	Worcester LVL	Water Level	Stage	mASD	4.802	
2014-02-07T02:15:00Z	2421TH	Thames	SU72016526	RIVER LODDON AT SHEEPBRIDGE FLUME	Water Level	Height	mASD	0.821	
2014-02-07T02:15:00Z	2421TH	Thames	SU72016526	RIVER LODDON AT SHEEPBRIDGE FLUME	Water Level	Stage	mASD	1.423	
2014-02-07T02:15:00Z	2642	Midland	SO8401456544	Worcester LVL	Water Level	Stage	mASD	4.810	
