Time	stationReference	region	ngr	stationName	parameter	qualifier	units	value	
2014-01-26T00:00:00Z	2642	Midland	SO8401456544	Worcester LVL	Water Level	Stage	mASD	2.884	
2014-01-26T00:15:00Z	2642	Midland	SO8401456544	Worcester LVL	Water Level	Stage	mASD	2.897	
2014-01-26T00:30:00Z	2642	Midland	SO8401456544	Worcester LVL	Water Level	Stage	mASD	2.900	
2014-01-26T00:45:00Z	2642	Midland	SO8401456544	Worcester LVL	Water Level	Stage	mASD	2.910	
2014-01-26T01:00:00Z	2642	Midland	SO8401456544	Worcester LVL	Water Level	Stage	mASD	2.913	
2014-01-26T01:15:00Z	2642	Midland	SO8401456544	Worcester LVL	Water Level	Stage	mASD	2.920	
2014-01-26T01:30:00Z	2642	Midland	SO8401456544	Worcester LVL	Water Level	Stage	mASD	2.923	
2014-01-26T01:45:00Z	2642	Midland	SO8401456544	Worcester LVL	Water Level	Stage	mASD	2.931	
2014-01-26T02:00:00Z	2642	Midland	SO8401456544	Worcester LVL	Water Level	Stage	mASD	2.932	
2014-01-26T02:15:00Z	2642	Midland	SO8401456544	Worcester LVL	Water Level	Stage	mASD	2.937	
2014-01-26T02:30:00Z	2642	Midland	SO8401456544	Worcester LVL	Water Level	Stage	mASD	2.944	
2014-01-26T02:45:00Z	2642	Midland	SO8401456544	Worcester LVL	Water Level	Stage	mASD	2.943	
2014-01-26T03:00:00Z	2642	Midland	SO8401456544	Worcester LVL	Water Level	Stage	mASD	2.949	
2014-01-26T03:15:00Z	2642	Midland	SO8401456544	Worcester LVL	Water Level	Stage	mASD	2.951	
2014-01-26T03:30:00Z	2642	Midland	SO8401456544	Worcester LVL	Water Level	Stage	mASD	2.956	
2014-01-26T03:45:00Z	2642	Midland	SO8401456544	Worcester LVL	Water Level	Stage	mASD	2.955	
2014-01-26T04:00:00Z	2642	Midland	SO8401456544	Worcester LVL	Water Level	Stage	mASD	2.961	
2014-01-26T04:15:00Z	2642	Midland	SO8401456544	Worcester LVL	Water Level	Stage	mASD	2.963	
2014-01-26T04:30:00Z	2642	Midland	SO8401456544	Worcester LVL	Water Level	Stage	mASD	2.964	
2014-01-26T04:45:00Z	2642	Midland	SO8401456544	Worcester LVL	Water Level	Stage	mASD	2.970	
2014-01-26T05:00:00Z	2642	Midland	SO8401456544	Worcester LVL	Water Level	Stage	mASD	2.966	
2014-01-26T05:15:00Z	2642	Midland	SO8401456544	Worcester LVL	Water Level	Stage	mASD	2.968	
2014-01-26T05:30:00Z	2642	Midland	SO8401456544	Worcester LVL	Water Level	Stage	mASD	2.974	
2014-01-26T05:45:00Z	2642	Midland	SO8401456544	Worcester LVL	Water Level	Stage	mASD	2.973	
2014-01-26T06:00:00Z	2642	Midland	SO8401456544	Worcester LVL	Water Level	Stage	mASD	2.977	
2014-01-26T06:15:00Z	2642	Midland	SO8401456544	Worcester LVL	Water Level	Stage	mASD	2.979	
2014-01-26T06:30:00Z	2642	Midland	SO8401456544	Worcester LVL	Water Level	Stage	mASD	2.975	
2014-01-26T06:45:00Z	2642	Midland	SO8401456544	Worcester LVL	Water Level	Stage	mASD	2.983	
2014-01-26T07:00:00Z	2642	Midland	SO8401456544	Worcester LVL	Water Level	Stage	mASD	2.981	
2014-01-26T07:15:00Z	2642	Midland	SO8401456544	Worcester LVL	Water Level	Stage	mASD	2.982	
2014-01-26T07:30:00Z	2642	Midland	SO8401456544	Worcester LVL	Water Level	Stage	mASD	2.985	
